variable,table,category,status,source,notes
R0_BC1DrugRegimen3StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen4Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen4Ongoing,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen4StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen4StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen4StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen4StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen5Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen5Ongoing,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen5StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen5StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen5StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen5StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen6Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen6Ongoing,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen6StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen6StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen6StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen6StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyHospital1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyHospital2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyHospital3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyHospital4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyHospital5,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyHospital6,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyTown1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyTown2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyTown3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyTown4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyTown5,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTherapyTown6,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugTreatmentReceived1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen1Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen1Ongoing,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen1StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen1StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen1StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen1StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen2Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen2Ongoing,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen2StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen2StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen2StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugRegimen2StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugTherapyHospital1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugTherapyTown1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC2DrugTreatmentReceived1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen1Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen1Ongoing,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen1StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen1StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen1StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen1StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen2Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen2Ongoing,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen2StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen2StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen2StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugRegimen2StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugTherapyHospital1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugTherapyTown1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC3DrugTreatmentReceived1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BariumSwallowXray,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,X-rays
R0_BiologicalParentsUnknown,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Relatives
R0_BirthExpEarlyLate,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Birth Details
R0_BirthPlace_Other,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Birth Details
R0_BirthWght_Cat,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Birth Details
R0_Birth_MedAbnorm,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Birth Details
R0_Blind,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: illnesses
R0_BornHosp_Other,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Birth Details
R0_BraCupSize,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_BraCupSize_20,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_BraCupSize_20Other,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_BraCupSize_Other,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_BreastAffected,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BreastCancer1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BreastCancer2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BreastCancer3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BreastCancerMotherSister,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Cancer in family
R0_BreastCancerRelative,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Cancer in family
R0_BreastCancerSurgery1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BreastCancerSurgery2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BreastCancerSurgery3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BreastDif_Size,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_BreastDiscomfort_20,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Menstrual and Menopause
R0_BreastDiscomfort_40,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Menstrual and Menopause
