variable,table,category,status,source,notes
ACTIVITY_TYPE_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_DIY_HEAVY_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_DIY_HEAVY_DUR_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_DIY_LIGHT_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_DIY_LIGHT_DUR_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_EXERCISE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_EXERCISE_DUR_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_STREN_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_STREN_DUR_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_WALK_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TYPE_WALK_DUR_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_VIG_DAYS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_VIG_DAYS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_VIG_MINS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_VIG_MINS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_WALK_DAYS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_WALK_DAYS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_WALK_MINS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_WALK_MINS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_WALK_PACE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_BEER_MTH_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_BEER_MTH_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_BEER_WK_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_CHG_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_CHG_ABST_REASON_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_CHG_ABST_REASON_2_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_CHG_REDUCE_REASON_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_CHG_REDUCE_REASON_2_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_CURR_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_FOOD_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_OTHER_MTH_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_OTHER_MTH_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_OTHER_WK_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_PREV_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_SPIRITS_MTH_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_SPIRITS_MTH_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_SPIRITS_WK_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_FORT_MTH_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_FORT_MTH_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_FORT_WK_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_RED_MTH_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_RED_MTH_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_RED_WK_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_WHITE_MTH_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_WHITE_MTH_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ALCOHOL_WINE_WHITE_WK_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
LIFESTYLE_DRIVE_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
LIFESTYLE_OUTDOOR_SUM_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
LIFESTYLE_OUTDOOR_WIN_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
LIFESTYLE_SCREEN_PC_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
LIFESTYLE_SCREEN_PC_HRS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
LIFESTYLE_SCREEN_TV_HRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
LIFESTYLE_SCREEN_TV_HRS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
